"date","state","usage"
"13-06-2014","RI",2083
"13-06-2014","SC",8343
"13-06-2014","SD",967
"13-06-2014","TN",10303
"13-06-2014","TX",43856
"13-06-2014","UT",2927
"13-06-2014","VT",961
"13-06-2014","VA",12302
"13-06-2014","WA",10192
"13-06-2014","WV",1919
"13-06-2014","WI",6758
"13-06-2014","WY",631
"13-06-2014","AS",NA
"13-06-2014","GU",NA
"13-06-2014","MP",NA
"13-06-2014","PR",NA
"13-06-2014","UM",NA
"13-06-2014","VI",NA
"14-06-2014","AL",5726
"14-06-2014","AK",1
"14-06-2014","AZ",7788
"14-06-2014","AR",2550
"14-06-2014","CA",77677
"14-06-2014","CO",7579
"14-06-2014","CT",6333
"14-06-2014","DE",1320
"14-06-2014","DC",5435
"14-06-2014","FL",40309
"14-06-2014","GA",16645
"14-06-2014","HI",NA
"14-06-2014","ID",1311
"14-06-2014","IL",19794
"14-06-2014","IN",7033
"14-06-2014","IA",3850
"14-06-2014","KS",3699
"14-06-2014","KY",4708
"14-06-2014","LA",5553
"14-06-2014","ME",2142
"14-06-2014","MD",9204
"14-06-2014","MA",13137
"14-06-2014","MI",12931
"14-06-2014","MN",7991
"14-06-2014","MS",2215
"14-06-2014","MO",8565
"14-06-2014","MT",755
"14-06-2014","NE",3039
"14-06-2014","NV",7956
"14-06-2014","NH",1926
"14-06-2014","NJ",18408
"14-06-2014","NM",1957
"14-06-2014","NY",46457
"14-06-2014","NC",14695
"14-06-2014","ND",1050
"14-06-2014","OH",14869
"14-06-2014","OK",5420
"14-06-2014","OR",8267
"14-06-2014","PA",16840
"14-06-2014","RI",2241
"14-06-2014","SC",7954
"14-06-2014","SD",823
"14-06-2014","TN",10486
"14-06-2014","TX",40983
"14-06-2014","UT",3089
"14-06-2014","VT",889
"14-06-2014","VA",12889
"14-06-2014","WA",9965
"14-06-2014","WV",2044
"14-06-2014","WI",6396
"14-06-2014","WY",682
"14-06-2014","AS",NA
"14-06-2014","GU",NA
"14-06-2014","MP",NA
"14-06-2014","PR",NA
"14-06-2014","UM",NA
"14-06-2014","VI",NA
"15-06-2014","AL",6471
"15-06-2014","AK",6
"15-06-2014","AZ",8498
"15-06-2014","AR",2818
"15-06-2014","CA",76843
"15-06-2014","CO",7645
"15-06-2014","CT",6740
"15-06-2014","DE",1450
"15-06-2014","DC",5481
"15-06-2014","FL",42135
"15-06-2014","GA",17342
"15-06-2014","HI",NA
"15-06-2014","ID",1362
"15-06-2014","IL",21766
"15-06-2014","IN",7373
"15-06-2014","IA",3958
"15-06-2014","KS",4278
"15-06-2014","KY",5414
"15-06-2014","LA",6519
"15-06-2014","ME",2043
"15-06-2014","MD",10349
"15-06-2014","MA",13638
"15-06-2014","MI",14019
"15-06-2014","MN",7598
"15-06-2014","MS",3209
"15-06-2014","MO",8502
"15-06-2014","MT",695
"15-06-2014","NE",3401
"15-06-2014","NV",7433
"15-06-2014","NH",2177
