source|text|created_at|retweet_count|favorite_count|is_retweet|id_str
Twitter for iPhone|The Democrats will make a deal with me on healthcare as soon as ObamaCare folds - not long. Do not worry, we are in very  good shape!|03-28-2017 02:03:17|16103|80864|false|846543183223963649
Twitter for iPhone|The Republican House Freedom Caucus was able to snatch defeat from the jaws of victory. After so many bad years they were ready for a win!|03-28-2017 01:41:15|9632|52179|false|846537639167713281
Twitter for iPhone|...money to Bill, the Hillary Russian "reset," praise of Russia by Hillary, or Podesta Russian Company. Trump Russia story is a hoax. #MAGA!|03-28-2017 01:35:35|19170|69350|false|846536212362018816
Twitter for iPhone|Why isn't the House Intelligence Committee looking into the Bill &amp; Hillary deal that allowed big Uranium to go to Russia, Russian speech....|03-28-2017 01:26:04|26423|89095|false|846533818811080704
Twitter for iPhone|General Kelly is doing a great job at the border. Numbers are way down. Many are not even trying to come in anymore.|03-27-2017 01:04:42|21319|108475|false|846166053663191040
Twitter for iPhone|Democrats are smiling in D.C. that the Freedom Caucus, with the help of Club For Growth and Heritage, have saved Planned Parenthood &amp; Ocare!|03-26-2017 12:21:58|15590|64422|false|845974102619906048
Twitter for iPhone|Thanks you for all of the Trump Rallies today. Amazing support. We will all MAKE AMERICA GREAT AGAIN!|03-25-2017 22:37:02|21430|117494|false|845766504608120833
Twitter for Android|Watch @JudgeJeanine on @FoxNews tonight at 9:00 P.M.|03-25-2017 14:41:14|10116|51247|false|845646761704243200
Twitter for Android|ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!|03-25-2017 14:37:52|22518|104321|false|845645916732358656
Twitter for iPhone|Happy #MedalOfHonorDay to our heroes! ➡️https://t.co/juAB1RmMh0 https://t.co/Sw5ea1OwUf|03-25-2017 13:29:17|14139|68302|false|845628655493677056
Twitter for iPhone|Today, I was thrilled to announce a commitment of $25 BILLION &amp; 20K AMERICAN JOBS over the next 4 years. THANK YOU… https://t.co/nWJ1hNmzoR|03-24-2017 17:59:42|20212|89339|false|845334323045765121
